Year,Region,Gender.Code,Education,rural_urban_class,source,measure1,measure2,attr,agr_by,overall_value,Ethnicity
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,502.322736737016,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,absolute number,overall,nation,36230.028617371,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,absolute number,total,nation,32186.458749377,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,13304.1098642973,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,13553.0481793753,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,16292.8980547343,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,14474.4763158998,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,absolute number,overall,nation,254,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,absolute number,total,nation,263,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,251.66205591007,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,276.272958555908,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,218.903243042928,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,226.659657166496,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,absolute number,overall,nation,7729.194405794,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,absolute number,total,nation,7207.516369007,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,5849.03546771206,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,6025.87679797254,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,6661.20362810063,American Indian or Alaska Native
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,6211.60908449062,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,absolute number,overall,nation,668,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,absolute number,total,nation,658,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,338.405947170075,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,364.462633622187,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,347.891299592738,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,342.68334600602,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,absolute number,overall,nation,21719.427561429,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,absolute number,total,nation,18195.526781432,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,8819.92448902188,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,8427.68164716991,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,11311.3770669998,American Indian or Alaska Native
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,9476.14589635756,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,absolute number,overall,nation,238,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,absolute number,total,nation,262,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,217.464093203656,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,247.302312491044,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,211.140781220891,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,232.432288570896,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,absolute number,overall,nation,6910.525136815,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,absolute number,total,nation,7046.839931852,American Indian or Alaska Native
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,5204.02582288949,American Indian or Alaska Native
